lambda;mu;theta;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.34;0.02;0.1;2499999;3.487790995116398;3.1530748612299444;141;140;357890;96;2142013;0.1431560572624229;3.8400015360006146e-05;0.8568055427222171;108;4941897;78;824347;0.33471613388645355
0.34;0.02;0.15;2499999;3.487790995116398;3.1472800589120236;141;140;369127;94;2130778;0.14765085906034361;3.760001504000602e-05;0.8523115409246164;108;4941897;78;824347;0.3405109362043745
0.34;0.02;0.2;2499999;3.487790995116398;3.1341432536573013;141;140;395186;93;2104720;0.1580744632297853;3.720001488000595e-05;0.8418883367553347;107;4941897;78;824347;0.3536477414590966
0.34;0.02;0.25;2499999;3.487790995116398;3.1213984485593795;141;140;417568;92;2082339;0.16702726681090674;3.680001472000589e-05;0.8329359331743733;107;4941897;78;824347;0.36639254655701864
0.34;0.02;0.3;2499999;3.487790995116398;3.1424144569657826;141;140;445593;43001;2011405;0.17823727129490852;0.017200406880162753;0.8045623218249287;107;4941897;78;824347;0.34537653815061525
0.34;0.03;0.0;2499999;3.487790995116398;3.136561654624662;141;140;349481;97;2150421;0.13979245591698236;3.880001552000621e-05;0.8601687440674977;107;4941897;78;824347;0.3512293404917362
0.34;0.03;0.05;2499999;3.487790995116398;3.131359652543861;141;140;357532;97;2142370;0.1430128572051429;3.880001552000621e-05;0.8569483427793371;107;4941897;78;824347;0.356431342572537
0.34;0.03;0.1;2499999;3.487790995116398;3.1271276508510604;141;140;365217;97;2134685;0.14608685843474337;3.880001552000621e-05;0.8538743415497366;107;4941897;78;824347;0.3606633442653377
0.34;0.03;0.15;2499999;3.487790995116398;3.1205152482060994;141;140;377683;95;2122221;0.15107326042930416;3.800001520000608e-05;0.8488887395554958;107;4941897;78;824347;0.36727574691029874
0.34;0.03;0.2;2499999;3.487790995116398;3.107665643066257;141;140;402809;95;2097095;0.16112366444946577;3.800001520000608e-05;0.8388383355353343;107;4941897;78;824347;0.3801253520501408
0.34;0.03;0.25;2499999;3.487790995116398;3.0925800370320147;141;140;429113;94;2070792;0.17164526865810747;3.760001504000602e-05;0.8283171313268526;107;4941897;78;824347;0.3952109580843832
0.34;0.03;0.3;2499999;3.487790995116398;3.119920847968339;141;140;456014;49581;1994404;0.18240567296226917;0.019832407932963172;0.7977619191047677;107;4941897;78;824347;0.3678701471480589
