classe_mod;count;avg_first_descent;max_first_descent;no_descent_count;no_descent_ratio;avg_max_ratio;max_ratio;avg_final_ratio;max_final_ratio;min_final_ratio
519;4883;4.0;4;0;0.0;2.250002605820074;2.2524084778420037;0.6328136889054139;0.6339113680154143;0.6328126140696407
647;4883;4.0;4;0;0.0;2.2500024807061534;2.2519319938176197;0.31640681591108955;0.3168469860896445;0.31640630703336026
775;4883;4.0;4;0;0.0;2.250002390452027;2.2516129032258063;0.6328135906437361;0.6335483870967742;0.6328126140638003
903;4882;4.0;4;0;0.0;2.2500023213299363;2.2513842746400887;0.15820338977669604;0.1583610188261351;0.15820315352106112
59;4883;4.0;4;0;0.0;1.687507571191437;1.7118644067796611;0.31640799878063197;0.3220338983050847;0.316406316416518
187;4883;4.0;4;0;0.0;1.6875041055385824;1.695187165775401;0.6328143965803243;0.6363636363636364;0.6328126328296351
315;4883;4.0;4;0;0.0;1.6875034225143835;1.692063492063492;0.05274294451191728;0.07936507936507936;9.655958209012871e-06
443;4883;4.0;4;0;0.0;1.6875031145029804;1.690744920993228;0.6328139387649625;0.6343115124153499;0.6328126328228336
571;4883;4.0;4;0;0.0;1.6875029317703112;1.6900175131348512;0.3164069271752077;0.3169877408056042;0.3164063164097166
699;4883;4.0;4;0;0.0;1.6875028069948335;1.6895565092989986;0.6328137967095667;0.6337625178826896;0.632812632816033
827;4883;4.0;4;0;0.0;1.6875027142403431;1.6892382103990327;0.15820343846525747;0.15840386940749698;0.1582031582031582
955;4882;4.0;4;0;0.0;1.6875026417787695;1.6890052356020941;0.6328137203869331;0.6335078534031413;0.6328126328364371
23;4883;3.0;3;0;0.0;2.2500133884908133;2.3043478260869565;0.21093908988328328;0.21739130434782608;0.21093752969230423
55;4883;3.0;3;0;0.0;2.2500069006796304;2.272727272727273;0.843753277822823;0.8545454545454545;0.8437501187684566
87;4883;3.0;3;0;0.0;2.250005177068332;2.264367816091954;0.42187622955372894;0.42528735632183906;0.42187505938384817
119;4883;3.0;3;0;0.0;2.250004374641946;2.2605042016806722;0.8437520779549245;0.8487394957983193;0.8437501187669362
151;4883;3.0;3;0;0.0;2.2500039080120113;2.2582781456953644;0.01757692758355621;0.026382978723404255;6.437303878871729e-06
183;4883;3.0;3;0;0.0;2.250003601221493;2.2568306010928962;0.8437517105802055;0.8469945355191257;0.8437501187654157
215;4883;3.0;3;0;0.0;2.2500033830537864;2.255813953488372;0.4218758034752755;0.4232558139534884;0.4218750593823278
247;4883;3.0;3;0;0.0;2.2500032191862775;2.2550607287449393;0.8437515291134822;0.8461538461538461;0.8437501187638954
279;4883;3.0;3;0;0.0;2.250003091033682;2.2544802867383513;0.2109378670602505;0.2114695340501792;0.2109375296907838
311;4883;3.0;3;0;0.0;2.2500029876526;2.2540192926045015;0.84375141913499;0.8456591639871383;0.843750118762375
343;4883;3.0;3;0;0.0;2.250002902177576;2.253644314868805;0.42187568926717356;0.4227405247813411;0.42187505938080744
375;4883;3.0;3;0;0.0;2.2500028300816535;2.2533333333333334;0.8437513442887875;0.8453333333333334;0.8437501187608547
407;4883;3.0;3;0;0.0;2.2500027682576356;2.253071253071253;0.1054689143652975;0.10565110565110565;0.10546876484501183
439;4883;3.0;3;0;0.0;2.250002714500948;2.2528473804100226;0.8437512893879463;0.8451025056947609;0.8437501187593345
471;4883;3.0;3;0;0.0;2.250002667203321;2.2526539278131636;0.4218756334607863;0.42250530785562634;0.4218750593792872
503;4883;3.0;3;0;0.0;2.2500026251633862;2.2524850894632205;0.8437512469526119;0.8449304174950298;0.8437501187578142
535;4883;3.0;3;0;0.0;2.250002587465209;2.2523364485981308;0.21093780726149403;0.21121495327102804;0.21093752968926355
567;4883;3.0;3;0;0.0;2.2500025533978754;2.252204585537919;0.8437512128639919;0.8447971781305115;0.8437501187562941
599;4883;3.0;3;0;0.0;2.250002522400909;2.2520868113522536;0.42187559907021527;0.42237061769616024;0.421875059377767
631;4883;3.0;3;0;0.0;2.2500024940262335;2.2519809825673534;0.8437511846624609;0.8446909667194928;0.8437501187547739
663;4883;3.0;3;0;0.0;2.2500024679111514;2.2518853695324283;0.05273444826611252;0.05279034690799397;0.052734382422125865
695;4883;3.0;3;0;0.0;2.250002443758811;2.2517985611510793;0.8437511607854365;0.8446043165467626;0.8437501187532538
727;4883;3.0;3;0;0.0;2.2500024213237384;2.25171939477304;0.42187557506438805;0.422283356258597;0.4218750593762469
