T;src;dst;count;weight_sum;source_count;normalized_weight
12;v2=2|odd=3|h=0;v2=3|odd=3|h=1;4;1.75;256;0.0068359375
12;v2=2|odd=3|h=1;v2=3|odd=3|h=2;4;1.75;256;0.0068359375
12;v2=2|odd=3|h=2;v2=3|odd=3|h=3;4;1.75;256;0.0068359375
12;v2=2|odd=3|h=3;v2=3|odd=3|h=0;4;1.75;256;0.0068359375
12;v2=0|odd=1|h=0;v2=3|odd=3|h=1;4;1.25;1024;0.001220703125
12;v2=0|odd=1|h=1;v2=3|odd=3|h=2;4;1.25;1024;0.001220703125
12;v2=0|odd=1|h=2;v2=3|odd=3|h=3;4;1.25;1024;0.001220703125
12;v2=0|odd=1|h=3;v2=3|odd=3|h=0;4;1.25;1024;0.001220703125
12;v2=2|odd=3|h=0;v2=3|odd=1|h=1;4;1.25;256;0.0048828125
12;v2=2|odd=3|h=1;v2=3|odd=1|h=2;4;1.25;256;0.0048828125
12;v2=2|odd=3|h=2;v2=3|odd=1|h=3;4;1.25;256;0.0048828125
12;v2=2|odd=3|h=3;v2=3|odd=1|h=0;4;1.25;256;0.0048828125
12;v2=3|odd=1|h=0;v2=0|odd=3|h=1;4;0.640625;128;0.0050048828125
12;v2=3|odd=1|h=1;v2=0|odd=3|h=2;4;0.640625;128;0.0050048828125
12;v2=3|odd=1|h=2;v2=0|odd=3|h=3;4;0.640625;128;0.0050048828125
12;v2=3|odd=1|h=3;v2=0|odd=3|h=0;4;0.640625;128;0.0050048828125
14;v2=2|odd=3|h=0;v2=0|odd=1|h=1;142;54.0;1024;0.052734375
