ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   4010209 | log_step=   1 | h_step=  86 | loss=  85 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=2668.778 | ratio_1=0.651163
n=   2736499 | log_step=   2 | h_step=   4 | loss=   2 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.137869 | max_ratio=1.500 | ratio_1=0.250000
n=   4104755 | log_step=   2 | h_step=   3 | loss=   1 | init_debt=9.797000 | debt_log=11.797000 | debt_delta_log=+2.000000 | h_delta_log=+0.324636 | max_ratio=1.500 | ratio_1=0.333333
n=   1896063 | log_step=  16 | h_step= 109 | loss=  93 | init_debt=9.212038 | debt_log=11.362413 | debt_delta_log=+2.150375 | h_delta_log=+0.523639 | max_ratio=4333.203 | ratio_1=0.678899
n=   2844095 | log_step=  15 | h_step= 107 | loss=  92 | init_debt=8.797000 | debt_log=11.362413 | debt_delta_log=+2.565412 | h_delta_log=+0.304941 | max_ratio=2888.802 | ratio_1=0.682243
n=   3370779 | log_step=  18 | h_step= 110 | loss=  92 | init_debt=8.362413 | debt_log=11.362413 | debt_delta_log=+3.000000 | h_delta_log=+0.330606 | max_ratio=2437.426 | ratio_1=0.681818
n=   3792127 | log_step=  16 | h_step= 108 | loss=  92 | init_debt=8.212038 | debt_log=11.362413 | debt_delta_log=+3.150375 | h_delta_log=+0.280492 | max_ratio=2166.601 | ratio_1=0.685185
n=   4266143 | log_step=  14 | h_step= 106 | loss=  92 | init_debt=8.212038 | debt_log=11.362413 | debt_delta_log=+3.150375 | h_delta_log=+0.162709 | max_ratio=1925.867 | ratio_1=0.679245
n=   4734811 | log_step=  24 | h_step= 116 | loss=  92 | init_debt=7.872188 | debt_log=11.362413 | debt_delta_log=+3.490225 | h_delta_log=+0.211410 | max_ratio=1735.238 | ratio_1=0.672414
n=   2959003 | log_step=  31 | h_step= 108 | loss=  77 | init_debt=8.342863 | debt_log=11.342863 | debt_delta_log=+3.000000 | h_delta_log=+0.749623 | max_ratio=1424.957 | ratio_1=0.648148

Top 30 per max ratio
------------------------------------------------------------------------------------------------------------------------
n=    769641 | log_step=   1 | h_step=  88 | loss=  87 | init_debt=12.797000 | debt_log=13.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=10675.141 | ratio_1=0.670455
n=    810815 | log_step=  10 | h_step=  93 | loss=  83 | init_debt=11.947375 | debt_log=13.457150 | debt_delta_log=+1.509775 | h_delta_log=+0.575169 | max_ratio=10133.046 | ratio_1=0.677419
n=    912167 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.584652 | max_ratio=9007.151 | ratio_1=0.670330
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | init_debt=8.797000 | debt_log=12.797000 | debt_delta_log=+4.000000 | h_delta_log=+1.722871 | max_ratio=8904.470 | ratio_1=0.690647
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.280101 | max_ratio=8115.565 | ratio_1=0.700935
n=   1026187 | log_step=   3 | h_step=  89 | loss=  86 | init_debt=11.797000 | debt_log=14.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.223721 | max_ratio=8006.363 | ratio_1=0.662921
n=   3800303 | log_step=  32 | h_step= 137 | loss= 105 | init_debt=8.627075 | debt_log=12.797000 | debt_delta_log=+4.169925 | h_delta_log=+1.681554 | max_ratio=7915.084 | ratio_1=0.686131
n=   1216223 | log_step=   6 | h_step=  92 | loss=  86 | init_debt=11.362413 | debt_log=13.212038 | debt_delta_log=+1.849625 | h_delta_log=+0.492534 | max_ratio=6755.361 | ratio_1=0.673913
n=   4809759 | log_step=  28 | h_step= 132 | loss= 104 | init_debt=9.797000 | debt_log=12.797000 | debt_delta_log=+3.000000 | h_delta_log=+0.919521 | max_ratio=6253.893 | ratio_1=0.681818
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=6086.675 | ratio_1=0.694444
n=   1368251 | log_step=   4 | h_step=  90 | loss=  86 | init_debt=11.212038 | debt_log=13.212038 | debt_delta_log=+2.000000 | h_delta_log=+0.442420 | max_ratio=6004.765 | ratio_1=0.666667
n=   1441447 | log_step=   8 | h_step=  95 | loss=  87 | init_debt=11.117300 | debt_log=12.797000 | debt_delta_log=+1.679700 | h_delta_log=+0.533851 | max_ratio=5699.846 | ratio_1=0.652632
n=   1539283 | log_step=   2 | h_step=  88 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.061403 | max_ratio=5337.567 | ratio_1=0.670455
