common_value;members_count;min_step;max_step;avg_step;members
139226471;3;10;12;11.0;3219199,4292265,4828799
138866345;3;19;22;20.666666666666668;3563611,4009063,4751481
138052187;3;15;18;16.333333333333332;420351,630527,747291
138043439;3;24;26;25.0;2799007,3732009,4198511
136048895;3;20;26;22.666666666666668;459759,581883,654619
135406889;3;74;77;75.66666666666667;1027431,1541147,1733791
133898221;3;28;35;30.666666666666668;1072575,1506607,1608863
133612921;3;36;39;37.666666666666664;3563611,4009063,4751481
133584353;3;62;65;63.666666666666664;1027431,1541147,1733791
131321893;3;79;84;81.0;3542887,3732423,4723849
129284095;3;14;19;16.0;3542887,3732423,4723849
128832751;3;45;52;47.666666666666664;1072575,1506607,1608863
126084313;3;37;40;38.333333333333336;420351,630527,747291
125119727;3;14;17;15.333333333333334;3428767,4063723,4571689
125094077;3;55;58;56.666666666666664;1027431,1541147,1733791
123995519;3;27;35;32.0;1395183,2092775,2234815
123958907;3;62;69;64.66666666666667;1072575,1506607,1608863
123952243;3;108;111;109.33333333333333;3428767,4063723,4571689
120297575;3;10;15;12.333333333333334;3708699,4172287,4395495
116730571;3;77;82;79.0;3542887,3732423,4723849
116357411;3;73;81;78.0;1395183,2092775,2234815
115146647;3;68;70;69.0;2799007,3732009,4198511
114919195;3;12;17;14.0;3542887,3732423,4723849
114906437;3;15;17;16.0;2799007,3732009,4198511
114011165;3;24;27;25.666666666666668;1027431,1541147,1733791
112735903;3;39;42;40.666666666666664;3563611,4009063,4751481
112711799;3;65;68;66.66666666666667;1027431,1541147,1733791
108616643;3;73;78;75.33333333333333;3708699,4172287,4395495
107239535;3;36;43;38.666666666666664;1072575,1506607,1608863
106931177;3;8;13;10.333333333333334;3708699,4172287,4395495
106065731;3;76;78;77.0;3219199,4292265,4828799
105815807;3;8;10;9.0;1835007,2752511,4128767
105548129;3;58;61;59.666666666666664;1027431,1541147,1733791
104913773;3;40;42;41.0;829087,1105449,1243631
104367473;3;73;76;74.66666666666667;3563611,4009063,4751481
104149759;3;20;23;21.666666666666668;3563611,4009063,4751481
