K,L,word,C_w,A,denominator,q_num,q_den,q_decimal,residue_bits,q_mod_2_power
9,7,1 1 1 2 1 1 2,2363,9,-1675,-2363,1675,-1.41074626866,10,495
9,8,1 1 1 1 1 1 1 2,6305,9,-6049,-6305,6049,-1.0423210448,10,767
10,7,1 1 1 1 1 1 4,2059,10,-1163,-2059,1163,-1.77042132416,11,1407
10,7,1 1 1 1 1 2 3,2123,10,-1163,-2123,1163,-1.82545141874,11,1215
10,7,1 1 1 1 1 3 2,2251,10,-1163,-2251,1163,-1.93551160791,11,831
10,7,1 1 1 1 2 1 3,2219,10,-1163,-2219,1163,-1.90799656062,11,1951
10,7,1 1 1 1 2 2 2,2347,10,-1163,-2347,1163,-2.01805674979,11,1567
10,7,1 1 1 1 3 1 2,2539,10,-1163,-2539,1163,-2.18314703353,11,991
10,7,1 1 1 2 1 1 3,2363,10,-1163,-2363,1163,-2.03181427343,11,1007
10,7,1 1 1 2 1 2 2,2491,10,-1163,-2491,1163,-2.1418744626,11,623
10,7,1 1 1 2 2 1 2,2683,10,-1163,-2683,1163,-2.30696474635,11,47
10,7,1 1 1 3 1 1 2,2971,10,-1163,-2971,1163,-2.55460017197,11,207
